title,Link,is_phone,company,model,storage,name
Apple iPhone 7 32GB MATTE BLACK Factory UNLOCKED NEW IN BOX Sealed Accessories,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-7-32gb-matte/6759736902.html,1,apple,iphone 7,32gb,Vivek
Apple iPhone 8 64GB BLACK Factory UNLOCKED *NEW IN BOX* Sealed Accessories,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-8-64gb-black/6761931686.html,1,apple,iphone 8,64gb,Vivek
iPhone 7+ Plus 128GB JET BLACK NEW IN BOX Factory UNLOCKED w/ Sealed Accessories,https://chicago.craigslist.org/nwc/mob/d/iphone-7-plus-128gb-jet-black/6760261111.html,1,apple,iphone 7 plus,128gb,Vivek
Apple iPhone 7+ 128GB Matte BLACK Factory UNLOCKED Like NEW W/ BOX Accessories,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-7-128gb-matte/6754052629.html,1,apple,iphone 7 plus,128gb,Vivek
Samsung Galaxy J3 pro J330F Factory Unlocked GSM cell phone,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-j3-pro-j330f/6764029037.html,1,samsung,galaxy j3 pro j330f,,Vivek
Apple iPhone 7+ Plus 128GB JET BLACK Factory UNLOCKED Like NEW BOX Accessories,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-7-plus-128gb-jet/6751362541.html,1,apple,iphone 7 plus,128gb,Vivek
Ipads and tablets,https://chicago.craigslist.org/chc/mob/d/ipads-and-tablets/6749011426.html,0,,,,Vivek
OtterBox Phone Case For Samsung Galaxy S6 Edge color Aqua Sky,https://chicago.craigslist.org/nwc/mob/d/otterbox-phone-case-for/6764021778.html,0,,,,Vivek
Samsung Galaxy Tab 2 (7-Inch),https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-tab-2-7-inch/6764038102.html,0,,,,Vivek
iphone XS 256Gb Brand new,https://chicago.craigslist.org/chc/mob/d/iphone-xs-256gb-brand-new/6764025592.html,1,apple,iphone xs max,256gb,Vivek
Samsung Galaxy S7,https://chicago.craigslist.org/nwc/mob/d/samsung-galaxy-s7/6764042806.html,1,samsung,galaxy s7,,Vivek
IPHONE XS MAX SAMSUNG NOTE9 NEW PHONES HERE@AIRTEC 410 S CLARK...,https://chicago.craigslist.org/chc/mob/d/iphone-xs-max-samsung-note9/6758004418.html,0,,,,Vivek
IPHONES GSM PHONES LIKE GALAXY S8 HTC M10 LG V20 AND MORE @AIRTEC,https://chicago.craigslist.org/chc/mob/d/iphones-gsm-phones-like/6749011922.html,0,,,,Vivek
IMEI CLEANING&UNLOCK UR PHONE @airtec 410 S CLARK,https://chicago.craigslist.org/chc/mob/d/imei-cleaningunlock-ur-phone/6756555984.html,0,,,,Vivek
"A wide variety of Android phones for sale Lg,Huawei,ZTE,Samsung+Apple",https://chicago.craigslist.org/chc/mob/d/wide-variety-of-android/6756550745.html,0,,,,Vivek
PHONE @airtec 410 S CLARK,https://chicago.craigslist.org/chc/mob/d/phone-airtec-410-clark/6756609222.html,0,,,,Vivek
UNLOCK BUY SELL AND TRADE IN UR PHONELaptop @AIR TEC WIRELESS,https://chicago.craigslist.org/chc/mob/d/unlock-buy-sell-and-trade-in/6756668380.html,0,,,,Vivek
"A wide variety of Android phones for sale Lg,Huawei,ZTE,Samsung+Apple",https://chicago.craigslist.org/chc/mob/d/wide-variety-of-android/6749012194.html,0,,,,Vivek
Unlocked Google Pixel XL 128GB android phone,https://chicago.craigslist.org/chc/mob/d/unlocked-google-pixel-xl/6764008081.html,1,google,pixel xl,128gb,Vivek
"BLACKBERRY ""7"" 16GB PLAYBOOK",https://chicago.craigslist.org/wcl/mob/d/blackberry-7-16gb-playbook/6764005740.html,0,,,,Vivek
IHIP App2 Wireless Bluetooth Earbuds,https://chicago.craigslist.org/chc/mob/d/ihip-app2-wireless-bluetooth/6764034375.html,0,,,,Vivek
WE ARE TAKING BOOST MOBILE PAYMENTS PAYMENTS,https://chicago.craigslist.org/chc/mob/d/we-are-taking-boost-mobile/6763915296.html,0,,,,Vivek
Apple iPhone 6 Plus - 16GB UNLOCKED,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-6-plus-16gb/6764024678.html,1,apple,iphone 6 plus,16gb,Vivek
Verizon iPhone 8 Plus - Space Gray - 256GB,https://chicago.craigslist.org/chc/mob/d/verizon-iphone-8-plus-space/6760063138.html,1,apple,iphone 8 plus,256gb,Vivek
Verizon iPhone 8 Plus - Space Gray - 256GB,https://chicago.craigslist.org/chc/mob/d/verizon-iphone-8-plus-space/6760062211.html,1,apple,iphone 8 plus,256gb,Vivek
Boost samsung j7 perx,https://chicago.craigslist.org/chc/mob/d/boost-samsung-j7-perx/6754762346.html,1,samsung,j7 perx,,Vivek
2 galaxy phones for sale,https://chicago.craigslist.org/wcl/mob/d/2-galaxy-phones-for-sale/6749899597.html,0,,,,Vivek
Alcatel fierce 4 for Metro Pcs,https://chicago.craigslist.org/wcl/mob/d/alcatel-fierce-4-for-metro-pcs/6748315196.html,1,alcatel,fierce 4,,Vivek
Unlocked Google Pixel 2 XL 128GB - Black,https://chicago.craigslist.org/wcl/mob/d/unlocked-google-pixel-2-xl/6764004921.html,1,google,pixel 2 xl,128gb,Vivek
WE ARE TAKING BOOST MOBILE PAYMENTS PAYMENTS,https://chicago.craigslist.org/chc/mob/d/we-are-taking-boost-mobile/6763918138.html,0,,,,Vivek
Unlocked Google Pixel 2 XL 128GB - Black,https://chicago.craigslist.org/nwc/mob/d/unlocked-google-pixel-2-xl/6764005619.html,1,google,pixel 2 xl,128gb,Vivek
Samsung Galaxy s8,https://chicago.craigslist.org/wcl/mob/d/samsung-galaxy-s8/6763998406.html,1,samsung,galaxy s8,,Vivek
IPHONE 7 256GB,https://chicago.craigslist.org/nwc/mob/d/iphone-7-256gb/6763896051.html,1,apple,iphone 7,256gb,Vivek
One plus 6T,https://chicago.craigslist.org/chc/mob/d/one-plus-6t/6763976998.html,1,oneplus,6t,,Vivek
Samsung Galaxy s8,https://chicago.craigslist.org/wcl/mob/d/samsung-galaxy-s8/6763998406.html,1,samsung,galaxy s8,,Rajat
IPHONE 7 256GB,https://chicago.craigslist.org/nwc/mob/d/iphone-7-256gb/6763896051.html,1,apple,iphone 7,256gb,Rajat
One plus 6T,https://chicago.craigslist.org/chc/mob/d/one-plus-6t/6763976998.html,1,oneplus,6t,,Rajat
"Computer, Laptops, Cell Phone SELL&Repair@AIRTEC 410 S CLARK!",https://chicago.craigslist.org/chc/mob/d/computer-laptops-cell-phone/6760677961.html,0,,,,Rajat
Ipads and tablets on sale @AIRTEC WIRELESS 410S CLARK,https://chicago.craigslist.org/chc/mob/d/ipads-and-tablets-on-sale/6749744177.html,0,,,,Rajat
IMEI CLEANING&UNLOCK UR PHONE @airtec 410 S CLARK,https://chicago.craigslist.org/chc/mob/d/imei-cleaningunlock-ur-phone/6760669471.html,0,,,,Rajat
SALE!!! LAPTOPS FROM $100!!,https://chicago.craigslist.org/chc/mob/d/sale-laptops-from-100/6755862246.html,0,,,,Rajat
Lg g6 unlocked,https://chicago.craigslist.org/sox/mob/d/lg-g6-unlocked/6758573771.html,1,lg,g6,,Rajat
T Mobile iPhone 8+ 64 GB Excellent Condition with tech21 case,https://chicago.craigslist.org/nch/mob/d/mobile-iphone-8-64-gb/6743334342.html,0,,,,Rajat
T Mobile iPhone 8+ 64 GB Excellent Condition with tech21 case,https://chicago.craigslist.org/chc/mob/d/mobile-iphone-8-64-gb/6743335853.html,0,,,,Rajat
ATT Galaxy S8 Active,https://chicago.craigslist.org/nwc/mob/d/att-galaxy-s8-active/6763981230.html,1,samsung,galaxy s8,,Rajat
iPhone 6,https://chicago.craigslist.org/chc/mob/d/iphone-6/6754506115.html,1,apple,iphone 6,,Rajat
iPhone X :::: space gray :::: 256gb,https://chicago.craigslist.org/nwc/mob/d/iphone-space-gray-256gb/6748893037.html,1,apple,iphone x,,Rajat
Otter Box case for iPhone 6,https://chicago.craigslist.org/nwi/mob/d/otter-box-case-for-iphone-6/6763966349.html,0,,,,Rajat
Brand new LG G7 ThingQ Tmobile- Grey MSRP $750,https://chicago.craigslist.org/sox/mob/d/brand-new-lg-g7-thingq/6761281562.html,1,lg,g7,,Rajat
BALLISTIC Carbon Fiber Urbanite Series Case for Apple iPhone 6 / 6s,https://chicago.craigslist.org/sox/mob/d/ballistic-carbon-fiber/6746381536.html,0,,,,Rajat
I B*U*Y PHONES 4 CASH ❗️ iPhone xs and iPhone xs max ✅,https://chicago.craigslist.org/chc/mob/d/buy-phones-4-cash-iphone-xs/6753350849.html,0,,,,Rajat
IMEI CLEANING&UNLOCK UR PHONE @airtec 410 S CLARK,https://chicago.craigslist.org/chc/mob/d/imei-cleaningunlock-ur-phone/6753725560.html,0,,,,Rajat
IPHONES GSM PHONES LIKE GALAXY S8 HTC M10 LG V20 AND MORE @AIRTEC,https://chicago.craigslist.org/chc/mob/d/iphones-gsm-phones-like/6756482593.html,0,,,,Rajat
PHONES LIKE GALAXY S8S9 HTC M10 LG V35 IPHONES &MORE@AIRTEC410 S CLARK,https://chicago.craigslist.org/chc/mob/d/phones-like-galaxy-s8s9-htc/6748183686.html,0,,,,Rajat
Unlock UR IPHONE NOW!!! any iphone in 5 mins yes any iphone,https://chicago.craigslist.org/chc/mob/d/unlock-ur-iphone-now-any/6762306362.html,0,,,,Rajat
New Unlocked Samsung GalaxyNOTE 8 On sale!@AIRTEC 410 S CLARK,https://chicago.craigslist.org/chc/mob/d/new-unlocked-samsung/6749075693.html,1,samsung,galaxy note 8,,Rajat
CRAZY SALE ON ALL THE PHONES@AIR TEC WIRELESS,https://chicago.craigslist.org/chc/mob/d/crazy-sale-on-all-the/6753694482.html,0,,,,Rajat
BUY SELL UNLOCK AND TRADE IN UR PHONE&Laptop @AIR TEC WIRELESS,https://chicago.craigslist.org/chc/mob/d/buy-sell-unlock-and-trade-in/6762294669.html,1,,,,Rajat
Buy used or new phone from a CERTIFIED dealer@AIR TEC 410 S CLARK,https://chicago.craigslist.org/nch/mob/d/buy-used-or-new-phone-from/6748133304.html,0,,,,Rajat
"Repair services for phones, tablets, computers@410 S CLARK",https://chicago.craigslist.org/sox/mob/d/repair-services-for-phones/6753753378.html,0,,,,Rajat
UNLOCK UNLOCK UNLOCK UR PHONE @ 410 S CLARK,https://chicago.craigslist.org/nch/mob/d/unlock-unlock-unlock-ur-phone/6753649412.html,0,,,,Rajat
SAMSUNG GALAXY S9 &S9+ ON SALE @AIRTEC WIRELESS,https://chicago.craigslist.org/wcl/mob/d/samsung-galaxy-s9-s9-on-sale/6748142458.html,1,samsung,galaxy s9,,Rajat
Unlock UR IPHONE NOW!!! ANY IPHONE Sprint At&t T.mobile X-FMobile&more,https://chicago.craigslist.org/sox/mob/d/unlock-ur-iphone-now-any/6756670250.html,0,,,,Rajat
iPhone XS MAX 64gb space gray BRAND NEW IN BOX,https://chicago.craigslist.org/chc/mob/d/iphone-xs-max-64gb-space-gray/6763955496.html,1,apple,iphone xs max,64gb,Rajat
OtterBox 77-23382_B Defender Series Case for Apple iPhone 5 - Retail P,https://chicago.craigslist.org/nch/mob/d/otterboxb-defender-series/6754542394.html,0,,,,Rajat
Black iPhone 7 Plus 128gb Verizon,https://chicago.craigslist.org/chc/mob/d/black-iphone-7-plus-128gb/6763944830.html,1,apple,iphone 7 plus,128gb,Rajat
OnePlus 3T used,https://chicago.craigslist.org/chc/mob/d/oneplus-3t-used/6763943673.html,1,oneplus,3t,,Rajat
Google Pixel 2 64GB Black,https://chicago.craigslist.org/nch/mob/d/google-pixel-2-64gb-black/6763940889.html,1,google,pixel 2,64gb,Rajat
Motorola Moto G 4th Gen XT1625 Black SCREEN GLASS ONLY,https://chicago.craigslist.org/wcl/mob/d/motorola-moto-4th-gen-xt1625/6751554182.html,1,motorola,motog 4th gen,,Rajat
Sprint LG V40 ThinQ & T-Mobile iPhone XS Max,https://chicago.craigslist.org/nwc/mob/d/sprint-lg-v40-thinq-mobile/6763926995.html,0,,,,Rajat
iPhone 7 Smart Battery Case - Black,https://chicago.craigslist.org/chc/mob/d/iphone-7-smart-battery-case/6763926125.html,0,,,,Rajat
Black iPhone 6s,https://chicago.craigslist.org/chc/mob/d/black-iphone-6s/6763911149.html,1,apple,iphone 6s,,Rajat
Samsung Dex Pad - turn your Galaxy phone into a desktop computer,https://chicago.craigslist.org/chc/mob/d/samsung-dex-pad-turn-your/6763867384.html,0,,,,Rajat
WE ARE TAKING BOOST MOBILE PAYMENTS PAYMENTS,https://chicago.craigslist.org/chc/mob/d/we-are-taking-boost-mobile/6763806939.html,0,,,,Rajat
LG G4 UNLOCK 32GB BLACK,https://chicago.craigslist.org/chc/mob/d/lg-g4-unlock-32gb-black/6747302223.html,1,lg,g4,32gb,Rajat
IPHONE 8PLUS UNLOCK 64GB SILVER,https://chicago.craigslist.org/chc/mob/d/iphone-8plus-unlock-64gb/6751593108.html,1,apple,iphone 8 plus,64gb,Rajat
Used IPhone 7 Plus 128GB Matte black,https://chicago.craigslist.org/wcl/mob/d/used-iphone-7-plus-128gb/6763909455.html,1,apple,iphone 7 plus,128gb,Rajat
Iphone 6s 64gb Unlocked,https://chicago.craigslist.org/chc/mob/d/iphone-6s-64gb-unlocked/6763862965.html,1,apple,iphone 6s,64gb,Rajat
iPhone Samsung Screen Repair - We come to you!!!,https://chicago.craigslist.org/wcl/mod/d/iphone-samsung-screen-repair/6763908927.html,0,,,,Rajat
iPhone Samsung Screen Repair - We come to you!!!,https://chicago.craigslist.org/wcl/mod/d/iphone-samsung-screen-repair/6763907409.html,0,,,,Rajat
iPhone Samsung Screen Repair - We come to you!!!,https://chicago.craigslist.org/wcl/mod/d/iphone-samsung-screen-repair/6763906504.html,0,,,,Rajat
iPhone Samsung Screen Repair - We come to you!!!,https://chicago.craigslist.org/wcl/mod/d/iphone-samsung-screen-repair/6763905488.html,0,,,,Rajat
iPhone 5s White 32GB Very Clean Unlocked,https://chicago.craigslist.org/nwc/mob/d/iphone-5s-white-32gb-very/6763782032.html,1,apple,iphone 5s,32gb,Rajat
SIM Card Cutter - Standard size to Micro SIM - NEW,https://chicago.craigslist.org/wcl/mob/d/sim-card-cutter-standard-size/6760535353.html,0,,,,Rajat
H2O SIM Card (ATT) - Standard or Micro - FREE shipping - NEW,https://chicago.craigslist.org/wcl/mob/d/h2o-sim-card-att-standard-or/6761599282.html,0,,,,Rajat
IPHONE 7 128GB,https://chicago.craigslist.org/nwc/mob/d/iphone-7-128gb/6762268029.html,1,apple,iphone 7 plus,128gb,Rajat
New iPhone xs,https://chicago.craigslist.org/chc/mob/d/new-iphone-xs/6757873554.html,1,apple,iphone xs,,Rajat
Samsung Galaxy s7 edge sprint,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s7-edge-sprint/6763880651.html,1,samsung,galaxy s7,,Rajat
Like new iPhone 6 Plus 64Gb Silver factory Unlocked,https://chicago.craigslist.org/nwc/mob/d/like-new-iphone-6-plus-64gb/6761769479.html,1,apple,iphone 6 plus,64gb,Rajat
Switch to Cricket!Cambiese a cricket!,https://chicago.craigslist.org/nwc/mob/d/switch-to-cricketcambiese/6763765899.html,0,,,,Rajat
New LG 2.5mm single ear headset SGEY0003221 black,https://chicago.craigslist.org/chc/mob/d/new-lg-25mm-single-ear/6749722335.html,0,,,,Rajat
Apple iPhone 8 - 256GB - Space Gray - Verizon - Like New with Case,https://chicago.craigslist.org/chc/mob/d/apple-iphone-8-256gb-space/6758314547.html,1,apple,iphone 8 plus,256gb,Rajat
Like new Sprint Samsung Galaxy S8,https://chicago.craigslist.org/nch/mob/d/like-new-sprint-samsung/6752862192.html,1,samsung,galaxy s8,,Rajat
Samsung Galaxy S8,https://chicago.craigslist.org/nwc/mob/d/samsung-galaxy-s8/6752657155.html,1,samsung,galaxy s8,,Rajat
APPLE IWATCH 42mm NIKE EDITION,https://chicago.craigslist.org/chc/mob/d/apple-iwatch-42mm-nike-edition/6763813347.html,0,,,,Rajat
Unlocked T-Mobile Samsung Galaxy Note 4,https://chicago.craigslist.org/chc/mob/d/unlocked-mobile-samsung/6762183250.html,1,samsung,galaxy note 4,,Rajat
iPhone Repair by professional working with electronics since 1998,https://chicago.craigslist.org/chc/mob/d/iphone-repair-by-professional/6763809456.html,0,,,,Rajat
Iphone 7,https://chicago.craigslist.org/nwc/mob/d/iphone-7/6763785455.html,1,apple,iphone 7,,Rajat
iPod touch,https://chicago.craigslist.org/wcl/mob/d/ipod-touch/6763824651.html,0,,,,Rajat
IPHONE 6 BOOST MOBILE,https://chicago.craigslist.org/wcl/mob/d/iphone-6-boost-mobile/6763800393.html,1,apple,iphone 6,,Rajat
Galaxy S6 . Sprint . Like New!,https://chicago.craigslist.org/chc/mob/d/galaxy-s6-sprint-like-new/6763776631.html,1,samsung,galaxy s6,,Rajat
"FREE, Boost Mobile Smartphone Samsung J7 Refine",https://chicago.craigslist.org/wcl/mob/d/free-boost-mobile-smartphone/6763806268.html,1,samsung,j7,,Rajat
iPhone iPad Samsung Screen LCD Battery Repair 8/8+ 7/7+ /6S/6+ /5S,https://chicago.craigslist.org/chc/mod/d/iphone-ipad-samsung-screen/6763811437.html,0,,,,Rajat
Verizon LG Lucid,https://chicago.craigslist.org/chc/mob/d/verizon-lg-lucid/6746071743.html,1,lg,lucid,,Rajat
Pixel 2 128 gb unlocked,https://chicago.craigslist.org/nch/mob/d/pixelgb-unlocked/6763800961.html,1,google,pixel 2,128gb,Rajat
IPHONE 6 BOOST MOBILE,https://chicago.craigslist.org/wcl/mob/d/iphone-6-boost-mobile/6763800877.html,1,apple,iphone 6,,Rajat
iPhone 7 256GB - Black - STILL UNDER MANUFACTURER WARRANTY!,https://chicago.craigslist.org/chc/mob/d/iphone-7-256gb-black-still/6763799222.html,1,apple,iphone 7,256gb,Rajat
IPHONE 8+ T-Mobile Unlock,https://chicago.craigslist.org/sox/mob/d/iphone-8-mobile-unlock/6755633783.html,1,apple,iphone 8 plus,,Rajat
Samsung Galaxy S9 T-Mobile Lilac Purple,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s9-mobile/6755601333.html,1,samsung,galaxy s9,,Rajat
IPHONE 8+ T-Mobile Unlock,https://chicago.craigslist.org/sox/mob/d/iphone-8-mobile-unlock/6755632800.html,1,apple,iphone 8 plus,,Rajat
switch to cricket!cambiese a cricket!,https://chicago.craigslist.org/nwc/mob/d/switch-to-cricketcambiese/6763742009.html,0,,,,Rajat
IPHONE 8+ T-Mobile Unlock,https://chicago.craigslist.org/sox/mob/d/iphone-8-mobile-unlock/6755633044.html,1,apple,iphone 8 plus,,Rajat
iPhone 7 plus AT&T Unlock 32gb Open box brand new gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock-32gb/6755614115.html,1,apple,iphone 7 plus,,Rajat
IPHONE 8+ T-Mobile Unlock,https://chicago.craigslist.org/sox/mob/d/iphone-8-mobile-unlock/6755639966.html,1,apple,iphone 8 plus,,Rajat
iPhone 7 plus AT&T Unlock 32gb Open Box Brand New Gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock-32gb/6755612773.html,1,apple,iphone 7 plus,32gb,Rajat
IPHONE 8+ T-Mobile Unlock,https://chicago.craigslist.org/sox/mob/d/iphone-8-mobile-unlock/6755636145.html,1,apple,iphone 8 plus,,Rajat
Samsung Galaxy S9 T-Mobile Lilac Purple,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s9-mobile/6755600235.html,1,samsung,galaxy s9,,Rajat
IPHONE 8+ T-Mobile Unlock With Box!,https://chicago.craigslist.org/sox/mob/d/iphone-8-mobile-unlock-with/6755632355.html,1,apple,iphone 8 plus,,Rajat
iPhone 7 plus AT&T Unlock 128gb,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock-128gb/6755641670.html,1,apple,iphone 7 plus,,Rajat
Samsung Galaxy S9 T-Mobile Lilac Purple,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s9-mobile/6755600652.html,1,samsung,galaxy s9,,Rajat
Samsung Galaxy S9 T-Mobile Lilac Purple,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s9-mobile/6755600449.html,1,samsung,galaxy s9,,Rajat
iPhone 7 plus AT&T Unlock 32gb Open box brand new gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock-32gb/6755614776.html,1,apple,iphone 7 plus,,Rajat
iPhone 7 Plus Gold IN BOX!,https://chicago.craigslist.org/sox/mob/d/iphone-7-plus-gold-in-box/6755648256.html,1,apple,iphone 7 plus,,Rajat
Samsung Galaxy S9 T-Mobile Lilac Purple,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s9-mobile/6755601569.html,1,samsung,galaxy s9,,Rajat
Samsung Galaxy S9 T-Mobile Lilac Purple,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s9-mobile/6755632598.html,1,samsung,galaxy s9,,Rajat
iPhone 7 plus AT&T Unlock 128gb Open boc brand new gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock/6755621955.html,1,apple,iphone 7 plus,,Rajat
iPhone 7 Plus Gold IN BOX!,https://chicago.craigslist.org/sox/mob/d/iphone-7-plus-gold-in-box/6755649917.html,1,apple,iphone 7 plus,,Rajat
iPhone 7 plus AT&T Unlock 128gb,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock-128gb/6755645070.html,1,apple,iphone 7 plus,,Rajat
iPhone 7 plus AT&T Unlock 128gb Open box brand new gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock/6755616138.html,1,apple,iphone 7 plus,,Rajat
iphone 7 tmobile gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-tmobile-gold/6755667243.html,1,apple,iphone 7,,Rajat
iPhone 7 Plus Gold IN BOX!,https://chicago.craigslist.org/sox/mob/d/iphone-7-plus-gold-in-box/6755649722.html,1,apple,iphone 7 plus,,Rajat
iPhone 7 plus AT&T Unlock 128gb,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock-128gb/6755641505.html,1,apple,iphone 7 plus,128gb,Rajat
iPhone 7 plus AT&T Unlock 128gb,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock-128gb/6755641280.html,1,apple,iphone 7 plus,128gb,Rajat
iphone 7 tmobile gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-tmobile-gold/6755664520.html,1,apple,iphone 7,,Rajat
iPhone 7 Plus Gold IN BOX!,https://chicago.craigslist.org/sox/mob/d/iphone-7-plus-gold-in-box/6755652870.html,1,apple,iphone 7 plus,,Rajat
Samsung Galaxy S8 T-Mobile Midnight Black,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s8-mobile/6755678665.html,1,samsung,galaxy s8,,Rajat
iphone 7 tmobile gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-tmobile-gold/6755666951.html,1,apple,iphone 7,,Rajat
iphone 7 tmobile gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-tmobile-gold/6755665566.html,1,apple,iphone 7,,Rajat
Samsung Galaxy S8 T-Mobile Midnight Black,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s8-mobile/6755679698.html,1,samsung,galaxy s8,,Rajat
iPhone 7 Plus Gold IN BOX!,https://chicago.craigslist.org/sox/mob/d/iphone-7-plus-gold-in-box/6755650802.html,1,apple,iphone 7 plus,,Rajat
Samsung Galaxy S8 T-Mobile Midnight Black,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s8-mobile/6755682854.html,1,samsung,galaxy s8,,Rajat
Samsung Galaxy S8 T-Mobile Midnight Black,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s8-mobile/6755679437.html,1,samsung,galaxy s8,,Rajat
iphone 7 tmobile gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-tmobile-gold/6755667647.html,1,apple,iphone 7,,Rajat
Samsung Galaxy S9 T-Mobile Lilac Purple,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s9-mobile/6755912564.html,1,samsung,galaxy s9,,Rajat
Samsung Galaxy S9 T-Mobile Lilac Purple,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s9-mobile/6755912764.html,1,samsung,galaxy s9,,Rajat
iphone 7 tmobile gold,https://chicago.craigslist.org/chc/mob/d/iphone-7-tmobile-gold/6755912379.html,1,apple,iphone 7,,Rajat
iPhone 7 plus AT&T Unlock 128gb,https://chicago.craigslist.org/chc/mob/d/iphone-7-plus-att-unlock-128gb/6755641034.html,1,apple,iphone 7 plus,128gb,Rajat
iPhone 6s 64gb unlocked space gray,https://chicago.craigslist.org/wcl/mob/d/iphone-6s-64gb-unlocked-space/6763755589.html,1,apple,iphone 6s,64gb,Rajat
Samsung Galaxy S8 T-Mobile Midnight Black,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s8-mobile/6755683430.html,1,samsung,galaxy s8,,Rajat
Samsung Galaxy S8 T-Mobile Midnight Black,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s8-mobile/6755679139.html,1,samsung,galaxy s8,,Rajat
Samsung Galaxy S8 T-Mobile Midnight Black,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s8-mobile/6755680112.html,1,samsung,galaxy s8,,Rajat
Iphone 7 !,https://chicago.craigslist.org/nwc/mob/d/iphone-7/6758720620.html,1,apple,iphone 7,,Rajat
Google pixel xl,https://chicago.craigslist.org/nwi/mob/d/google-pixel-xl/6741087564.html,1,google,pixel xl,,Rajat
White iPhone X 64gb,https://chicago.craigslist.org/sox/mob/d/white-iphone-64gb/6763766477.html,1,apple,iphone x,,Rajat
IPhone 4 AT&T unlock 16GB,https://chicago.craigslist.org/nwc/mob/d/iphone-4-att-unlock-16gb/6759324462.html,1,apple,iphone 4,16gb,Rajat
iphone 6 otter cases,https://chicago.craigslist.org/chc/mob/d/iphone-6-otter-cases/6742574506.html,0,,,,Rajat
iPhone 6s Plus UNLOCKED,https://chicago.craigslist.org/chc/mob/d/iphone-6s-plus-unlocked/6763751215.html,1,apple,iphone 6s plus,,Rajat
For Sale Samsung Galaxy Note 3 T-Mobile,https://chicago.craigslist.org/nch/mob/d/for-sale-samsung-galaxy-note/6745511067.html,1,samsung,galaxy note 3,,Rajat
Iphone 5s Black 16GB,https://chicago.craigslist.org/wcl/mob/d/iphone-5s-black-16gb/6763743553.html,1,apple,iphone 5s,16gb,Rajat
Galaxy S7 32GB Excellent ATT Tmobile MetroPCS Cricket Verizon,https://chicago.craigslist.org/nwi/mob/d/galaxy-s7-32gb-excellent-att/6749941716.html,1,samsung,galaxy s7,32gb,Rajat
Tmobile Verizon ATT Metropcs cricket UnlockEd iphone 6 Great Condition,https://chicago.craigslist.org/nwi/mob/d/tmobile-verizon-att-metropcs/6750568098.html,1,apple,iphone 6,,Rajat
iPhone 4 White ATT 16GB,https://chicago.craigslist.org/chc/mob/d/iphone-4-white-att-16gb/6755417506.html,1,apple,iphone 4,16gb,Rajat
iPhone 8 and Samsung Screen Replacement,https://chicago.craigslist.org/nwc/mob/d/iphone-8-and-samsung-screen/6763630091.html,0,,,,Rajat
"Google Pixel 3 XL - 128GB - Pink - Brand New, Unlocked, Factory Sealed",https://chicago.craigslist.org/chc/mob/d/google-pixel-3-xl-128gb-pink/6763675460.html,1,google,pixel 3 xl,128gb,Rajat
Apple iPhone 7 128gb IC 🔒 good condition,https://chicago.craigslist.org/chc/mob/d/apple-iphone-7-128gb-ic-good/6742162571.html,1,apple,iphone 7,128gb,Rajat
iPhone Carrier Unlock Service,https://chicago.craigslist.org/chc/mob/d/iphone-carrier-unlock-service/6741993760.html,0,,,,Rajat
